Year|Month|DayofMonth|DayOfWeek|DepTime|CRSDepTime|ArrTime|CRSArrTime|UniqueCarrier|FlightNum|TailNum|ActualElapsedTime|CRSElapsedTime|AirTime|ArrDelay|DepDelay|Origin|Dest|Distance
2008|1|3|4|1012|1010|1136|1135|WN|752|N680AA|84|85|68|1|2|OAK|LAS|407
2008|1|4|5|1303|1300|1411|1415|WN|1161|N748SW|68|75|59|-4|3|PVD|BWI|328
2008|1|6|7|2134|2115|2242|2220|WN|1830|N344SW|68|65|53|22|19|BWI|BUF|281
2008|1|7|1|1734|1655|54|30|WN|302|N694SW|260|275|246|24|39|LAS|ALB|2237
2008|1|8|2|1750|1755|2018|2035|WN|1305|N234WN|148|160|136|-17|-5|MCO|PVD|1073
2008|1|9|3|640|645|855|905|WN|896|N451WN|135|140|121|-10|-5|PBI|BWI|883
2008|1|10|4|1943|1945|2039|2040|WN|120|N336SW|56|55|46|-1|-2|SAT|DAL|248
2008|1|11|5|1303|1305|1401|1400|WN|1685|N610WN|58|55|43|1|-2|TUL|MCI|223
2008|1|13|7|1226|1230|1415|1400|WN|1118|N757LV|109|90|66|15|-4|LAS|SFO|414
2008|1|14|1|1337|1340|1623|1630|WN|730|N626SW|106|110|92|-7|-3|OAK|PHX|646
2008|1|15|2|1400|1355|1513|1510|WN|1230|N507SW|73|75|59|3|5|RNO|LAS|345
2008|1|16|3|2001|2005|2106|2105|WN|1857|N623SW|65|60|48|1|-4|STL|MCI|237
2008|1|18|5|937|940|1040|1045|WN|3838|N408WN|63|65|51|-5|-3|BWI|BUF|281
2008|1|19|6|748|750|840|850|WN|1543|N472WN|52|60|39|-10|-2|LAS|S|226
2008|1|20|7|1301|1300|1742|1755|WN|351|N730SW|161|175|149|-13|1|SAN|HOU|1312
2008|1|21|1|656|655|753|755|WN|1952|N386SW|57|60|45|-2|1|TUL|DAL|237
2008|1|23|3|1923|1920|2038|2045|WN|1378|N284WN|135|145|123|-7|3|BWI|STL|737
2008|1|24|4|1430|1430|1728|1720|WN|2991|N265WN|178|170|166|8|0|ISP|MCO|972
2008|1|25|5|1029|1025|1301|1255|WN|109|N424WN|152|150|128|6|4|MCO|ISP|972
2008|1|26|6|1027|1025|1151|1155|WN|224|N298WN|84|90|56|-4|2|SLC|DEN|391
2008|1|28|1|629|630|720|730|WN|201|N528SW|51|60|42|-10|-1|DAL|HOU|239
2008|1|29|2|656|700|1218|1225|WN|190|N244WN|202|205|185|-7|-4|LAS|MDW|1521
